2024-12-01 12:53:15.024708820 [I:onnxruntime:, inference_session.cc:583 TraceSessionOptions] Session Options {  execution_mode:0 execution_order:DEFAULT enable_profiling:0 optimized_model_filepath:"" enable_mem_pattern:1 enable_mem_reuse:1 enable_cpu_mem_arena:1 profile_file_prefix:onnxruntime_profile_ session_logid: session_log_severity_level:1 session_log_verbosity_level:0 max_num_graph_transformation_steps:10 graph_optimization_level:3 intra_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } inter_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } use_per_session_threads:1 thread_pool_allow_spinning:1 use_deterministic_compute:0 config_options: {  } }
2024-12-01 12:53:15.278433358 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9841'. It is no longer used by any node.
2024-12-01 12:53:15.278439683 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7851'. It is no longer used by any node.
2024-12-01 12:53:15.278444894 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7850'. It is no longer used by any node.
2024-12-01 12:53:15.278450199 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9817'. It is no longer used by any node.
2024-12-01 12:53:15.278455748 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7819'. It is no longer used by any node.
2024-12-01 12:53:15.278460934 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7766'. It is no longer used by any node.
2024-12-01 12:53:15.278466207 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7765'. It is no longer used by any node.
2024-12-01 12:53:15.278471440 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9796'. It is no longer used by any node.
2024-12-01 12:53:15.278477025 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9792'. It is no longer used by any node.
2024-12-01 12:53:15.278482190 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7750'. It is no longer used by any node.
2024-12-01 12:53:15.278502232 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9791'. It is no longer used by any node.
2024-12-01 12:53:15.278509287 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9787'. It is no longer used by any node.
2024-12-01 12:53:15.278514663 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7735'. It is no longer used by any node.
2024-12-01 12:53:15.278520070 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7734'. It is no longer used by any node.
2024-12-01 12:53:15.278526577 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8409'. It is no longer used by any node.
2024-12-01 12:53:15.278531916 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9767'. It is no longer used by any node.
2024-12-01 12:53:15.278537206 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7686'. It is no longer used by any node.
2024-12-01 12:53:15.278542521 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9761'. It is no longer used by any node.
2024-12-01 12:53:15.278548629 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9757'. It is no longer used by any node.
2024-12-01 12:53:15.278553901 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9936'. It is no longer used by any node.
2024-12-01 12:53:15.278559013 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7656'. It is no longer used by any node.
2024-12-01 12:53:15.278564544 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7655'. It is no longer used by any node.
2024-12-01 12:53:15.278569912 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9756'. It is no longer used by any node.
2024-12-01 12:53:15.278578900 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_10027'. It is no longer used by any node.
2024-12-01 12:53:15.278584307 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7608'. It is no longer used by any node.
2024-12-01 12:53:15.278589566 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7607'. It is no longer used by any node.
